year	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
1950	0.00019897750462405384	0.0013478511245921254	0.0008318598847836256	0.0006248594145290554	0.00047653677756898105	0.00042690779082477093	0.0003654714673757553	0.0002769158745650202	0.0002905700821429491	0.00021897080296184868	0.00034270575270056725	0.000176753630512394	0.0002163449244108051	0.00015678952331654727	0.00016333232633769512	0.00019839918240904808	0.0001569512824062258	0.0001366691431030631	0.00015173722931649536	0.00014171596558298916	0.00021726501290686429	0.00011694342538248748	0.00011891314352396876	0.00010866807861020789	0.00012244390381965786	0.00015176703163888305	0.00010064388334285468	9.850937203736976e-05	0.00010282947914674878	8.920264372136444e-05	0.0001633250358281657	9.104039054363966e-05	7.191611803136766e-05	6.47007254883647e-05	6.0873197071487084e-05	7.405914220726117e-05	6.324730929918587e-05	5.8233330491930246e-05	5.7443376135779545e-05	5.4004438425181434e-05	0.00010722196020651609	5.3651117923436686e-05	5.314333247952163e-05	5.017933654016815e-05	5.0399477913742885e-05	6.526263314299285e-05	4.6348159230547026e-05	4.7271289076888934e-05	5.390774458646774e-05	4.442283898242749e-05	0.0001263055019080639	4.162425102549605e-05	4.362315303296782e-05	3.9712311263429e-05	4.0647606510901824e-05	4.770305895362981e-05	3.9332233427558094e-05	3.8930869777686894e-05	3.807463144767098e-05	3.590788764995523e-05	8.769206760916859e-05	3.7312653148546815e-05	3.712839315994643e-05	3.675804327940568e-05	3.822179860435426e-05	4.4917243940290064e-05	3.63603321602568e-05	3.544388891896233e-05	3.574308720999397e-05	3.286361970822327e-05	5.9499445342225954e-05	3.247746280976571e-05	3.657864726847038e-05	3.219407517462969e-05	3.132810888928361e-05	5.112497092341073e-05	3.195751560269855e-05	3.258449214627035e-05	3.304119309177622e-05	3.010942782566417e-05	6.400442362064496e-05	3.309105886728503e-05	3.176169775542803e-05	3.073214611504227e-05	3.1479528843192384e-05	3.804605148616247e-05	3.160541018587537e-05	3.1694806239102036e-05	3.424102033022791e-05	3.0187266020220704e-05	5.8409685152582824e-05	2.9987193556735292e-05	2.9725093554588966e-05	2.946359927591402e-05	2.9428329071379267e-05	3.634087261161767e-05	2.9552385967690498e-05	2.9281771276146173e-05	3.0217672247090377e-05	3.187359470757656e-05
1951	0.0001968504802789539	0.0013941178331151605	0.0008284180075861514	0.0006258796202018857	0.0004740785516332835	0.0004384011263027787	0.00036071156500838697	0.00027580111054703593	0.00029592151986435056	0.00021545412892010063	0.0003524740459397435	0.00017904014384839684	0.0002147013583453372	0.00015872511721681803	0.00016564044926781207	0.00020269931701477617	0.00015900701691862196	0.00014077569358050823	0.00015576451551169157	0.00014741411723662168	0.0002264445647597313	0.00012082053581252694	0.00012049559882143512	0.00011012447794200853	0.0001235085801454261	0.00015602957864757627	0.00010182708501815796	9.973526903195307e-05	0.00010644042049534619	9.280435187974945e-05	0.00017170445062220097	9.016932017402723e-05	7.128375727916136e-05	6.564571958733723e-05	6.118705641711131e-05	7.526531408075243e-05	6.458172720158473e-05	5.9216239606030285e-05	5.805744876852259e-05	5.342103395378217e-05	0.00010971659503411502	5.299381518852897e-05	5.597187191597186e-05	5.417318971012719e-05	5.299319309415296e-05	6.668663991149515e-05	4.785721466760151e-05	4.7015251766424626e-05	5.407714343164116e-05	4.538932626019232e-05	0.000132135275634937	4.334678305895068e-05	4.351517782197334e-05	4.030448690173216e-05	4.1317962313769385e-05	4.917940896120854e-05	4.027704562759027e-05	3.913010368705727e-05	3.9426351577276364e-05	3.753848068299703e-05	9.007639164337888e-05	3.7455531128216535e-05	3.675451807794161e-05	3.6430206819204614e-05	3.862742232740857e-05	4.747427738038823e-05	3.698777436511591e-05	3.504190317471512e-05	3.604726953199133e-05	3.3730309951351956e-05	6.089081216487102e-05	3.282098987256177e-05	3.6030429328093305e-05	3.2129333703778684e-05	3.127364834654145e-05	5.295889059198089e-05	3.2270283554680645e-05	3.309041858301498e-05	3.297691000625491e-05	3.0496546969516203e-05	6.615152233280241e-05	3.301058677607216e-05	3.2309573725797236e-05	3.0809631425654516e-05	3.136719897156581e-05	3.809979170910083e-05	3.2406245736638084e-05	3.1698997190687805e-05	3.5279525036457926e-05	3.06979964079801e-05	5.908277307753451e-05	2.9423199521261267e-05	3.080838723690249e-05	2.9435048418235965e-05	2.885440699174069e-05	3.858251511701383e-05	2.9931496101198718e-05	2.9619033739436418e-05	3.1236228096531704e-05	3.310476313345134e-05
1952	0.00019358289137016982	0.0014119725674390793	0.0008363263332284987	0.0006295216153375804	0.0004742582968901843	0.00044065696420148015	0.00035909292637370527	0.00027989293448626995	0.000296873040497303	0.00021996746363583952	0.0003499486483633518	0.00018016491958405823	0.0002201142197009176	0.0001599871029611677	0.0001669868070166558	0.00020265871717128903	0.00015882171283010393	0.0001399134926032275	0.00015587988309562206	0.00014589271449949592	0.00022516360331792384	0.00012129814422223717	0.0001226744061568752	0.00011143614392494783	0.0001261224679183215	0.00015879581042099744	0.00010466149251442403	0.00010214943904429674	0.00010604022827465087	9.248599235434085e-05	0.0001739069848554209	9.49289824347943e-05	7.258811092469841e-05	6.546075746882707e-05	6.131963164079934e-05	7.854760769987479e-05	6.510620733024552e-05	5.904312274651602e-05	5.87588656344451e-05	5.377669003792107e-05	0.00010708413901738822	5.3268606279743835e-05	5.357259215088561e-05	5.055923975305632e-05	5.25440918863751e-05	6.424234743462875e-05	4.683616862166673e-05	4.748237188323401e-05	5.510547634912655e-05	4.600807005772367e-05	0.00012739082740154117	4.423840800882317e-05	4.451403219718486e-05	4.02064215450082e-05	4.065777829964645e-05	4.769941733684391e-05	4.000232365797274e-05	3.978836321039125e-05	3.936475332011469e-05	3.7588928535114974e-05	8.642228203825653e-05	3.71942987840157e-05	3.733550329343416e-05	3.6845918657490984e-05	3.844601087621413e-05	4.39671021013055e-05	3.670594742288813e-05	3.4587290429044515e-05	3.6311321309767663e-05	3.412791920709424e-05	5.8982695918530226e-05	3.3217191230505705e-05	3.736509825102985e-05	3.3358392101945356e-05	3.2726373319746926e-05	5.629860970657319e-05	3.289408778073266e-05	3.356125671416521e-05	3.3375043130945414e-05	3.068232399527915e-05	6.479297735495493e-05	3.444053800194524e-05	3.29045724356547e-05	3.1427800422534347e-05	3.248404391342774e-05	3.826287866104394e-05	3.1422248866874725e-05	3.215046308469027e-05	3.612448927015066e-05	3.052693864447065e-05	5.767549009760842e-05	2.9436161639750935e-05	3.086730430368334e-05	2.951200440293178e-05	2.901440348068718e-05	3.772828131332062e-05	3.013477544300258e-05	2.894349381676875e-05	3.0023169529158622e-05	3.1620180379832163e-05
1953	0.00023862395028118044	0.001426040893420577	0.0008593493839725852	0.0006504708435386419	0.0004888199619017541	0.00045500282431021333	0.0003729136078618467	0.0002847727155312896	0.0002954589144792408	0.0002235679712612182	0.00035714401747100055	0.00017858615319710225	0.00022144909598864615	0.00016328056517522782	0.00016903360665310174	0.00020690115343313664	0.00016211046022363007	0.0001431832934031263	0.00015722950047347695	0.0001459334307583049	0.00022844955674372613	0.00012463651364669204	0.00012426680768840015	0.00011399057257222012	0.00012668874114751816	0.0001573389017721638	0.0001052151492331177	0.00010286552424076945	0.00010724789171945304	9.375497756991535e-05	0.00017182335432153195	9.323500853497535e-05	7.336220005527139e-05	6.766512524336576e-05	6.249304715311155e-05	7.62280251365155e-05	6.564747309312224e-05	6.068603033781983e-05	6.009815479046665e-05	5.5336022342089564e-05	0.00010999111691489816	5.520398553926498e-05	5.9541711380006745e-05	5.2682709792861715e-05	5.737190440413542e-05	6.653840682702139e-05	4.8456902732141316e-05	4.8237470764433965e-05	5.510024493560195e-05	4.618964157998562e-05	0.00013300325372256339	4.525658005150035e-05	4.5458407839760184e-05	4.179407187621109e-05	4.2483177821850404e-05	4.951319715473801e-05	4.121688107261434e-05	3.983615170000121e-05	3.993926657130942e-05	3.767955058719963e-05	8.891048491932452e-05	3.7646856071660295e-05	3.72645772586111e-05	3.7167123082326725e-05	3.865096368826926e-05	4.708245978690684e-05	3.679176006698981e-05	3.520668906276114e-05	3.620702409534715e-05	3.372347418917343e-05	6.057034261175431e-05	3.30683178617619e-05	3.7160833016969264e-05	3.400766945560463e-05	3.2653973903506994e-05	5.3400741307996213e-05	3.286397623014636e-05	3.362098868819885e-05	3.3648026146693155e-05	3.121414556517266e-05	6.609891715925187e-05	3.454021498328075e-05	3.3385837014066055e-05	3.188124537700787e-05	3.2088104489957914e-05	3.861386721837334e-05	3.187181573593989e-05	3.2331427064491436e-05	3.54556723323185e-05	3.10827381326817e-05	5.9887523093493655e-05	2.9532246117014438e-05	3.081614704569802e-05	3.0023926228750497e-05	2.9644163078046404e-05	3.9097376429708675e-05	3.030560583283659e-05	3.005662074428983e-05	3.135183942504227e-05	3.338709575473331e-05
1954	0.0002191569801652804	0.0014229519292712212	0.0008364940294995904	0.0006290855817496777	0.0004803081101272255	0.0004466765676625073	0.00036110178916715086	0.00027502584271132946	0.0002937845711130649	0.0002164051402360201	0.00036100190482102334	0.00018109686789102852	0.00021762223332189023	0.00015829160111024976	0.00016285495075862855	0.00020389130804687738	0.00015592722047585994	0.00014045037096366286	0.00015452902880497277	0.00014348617696668953	0.0002282289060531184	0.0001209341935464181	0.00012290752783883363	0.00011096524394815788	0.00012456922559067607	0.00015970843378454447	0.00010300692520104349	0.00010060462955152616	0.0001064175448846072	9.195383609039709e-05	0.0001748862850945443	9.050391236087307e-05	7.251106580952182e-05	6.73388785799034e-05	6.219316856004298e-05	7.794675912009552e-05	6.489927909569815e-05	6.044543988537043e-05	5.96194076933898e-05	5.422161120804958e-05	0.00011139721027575433	5.3096569899935275e-05	5.479616447701119e-05	5.328187035047449e-05	5.8333727793069556e-05	6.74892871757038e-05	4.836357038584538e-05	4.763018660014495e-05	5.504764340003021e-05	4.4785698264604434e-05	0.00013764918548986316	4.433146750670858e-05	4.5283242798177525e-05	4.4616037484956905e-05	4.1724018956301734e-05	4.9795442464528605e-05	4.085526961716823e-05	3.91869580198545e-05	3.9026926970109344e-05	3.7791185604874045e-05	9.047804633155465e-05	3.713420665008016e-05	3.751864642254077e-05	3.688152355607599e-05	3.823759107035585e-05	4.656109740608372e-05	3.6390596505953e-05	3.464948895270936e-05	3.577212555683218e-05	3.326815567561425e-05	6.0923732235096395e-05	3.3443830034229904e-05	3.6847231967840344e-05	3.3822852856246755e-05	3.208475391147658e-05	5.408925426308997e-05	3.2303745683748275e-05	3.314060813863762e-05	3.2535976060898975e-05	3.0172785045579076e-05	6.64412509649992e-05	3.3702530345181e-05	3.205828397767618e-05	3.093444320256822e-05	3.194998862454668e-05	3.882357486872934e-05	3.1810413929633796e-05	3.2227340852841735e-05	3.540092075127177e-05	3.0099987270659767e-05	5.8919715229421854e-05	2.9686068955925293e-05	3.081351678702049e-05	3.0395987778319977e-05	2.9589205951197073e-05	3.870204818667844e-05	3.082013427047059e-05	3.000071956194006e-05	3.163233122904785e-05	3.3210999390576035e-05
1955	0.00022469919349532574	0.0014069157186895609	0.0008503991411998868	0.0006419034907594323	0.0004856958403252065	0.0004457145696505904	0.0003700261004269123	0.00028403743635863066	0.0002973848895635456	0.00022055926092434675	0.00035574068897403777	0.00018055399414151907	0.00021778084919787943	0.00016231134941335768	0.0001663987641222775	0.00020144318114034832	0.00015948727377690375	0.00014191996888257563	0.00015522289322689176	0.00014688023657072335	0.00022520212223753333	0.00012377665552776307	0.0001233593502547592	0.00011224854824831709	0.00012524434714578092	0.00015706622798461467	0.0001037414840538986	0.00010121425293618813	0.00010609973833197728	9.267863788409159e-05	0.0001726760237943381	9.065434278454632e-05	7.309331704163924e-05	6.665449473075569e-05	6.120385660324246e-05	7.725664909230545e-05	6.566575757460669e-05	6.057932478142902e-05	5.836949640070088e-05	5.435173079604283e-05	0.00011080368130933493	5.5136675655376166e-05	5.8492805692367256e-05	5.365755714592524e-05	5.431120007415302e-05	6.61606973153539e-05	4.7094861656660214e-05	4.761264062835835e-05	5.5623051594011486e-05	4.5260094339028e-05	0.00013139317161403596	4.346357309259474e-05	4.527436612988822e-05	4.0911796531872824e-05	4.167104998487048e-05	5.111662540002726e-05	4.08706946473103e-05	3.997842577518895e-05	3.910614032065496e-05	3.696881321957335e-05	8.793130109552294e-05	3.6713634472107515e-05	3.7147496186662465e-05	3.6853496567346156e-05	3.797582394327037e-05	4.7142242692643777e-05	3.688375363708474e-05	3.4824635804397985e-05	3.605713936849497e-05	3.320108589832671e-05	5.933826105319895e-05	3.2537740480620414e-05	3.586532693589106e-05	3.259653749410063e-05	3.2123291020980105e-05	5.404688636190258e-05	3.230482616345398e-05	3.2980733521981165e-05	3.297388320788741e-05	3.0510018405038863e-05	6.583758658962324e-05	3.376967288204469e-05	3.306636426714249e-05	3.0855964723741636e-05	3.156441016471945e-05	3.853927046293393e-05	3.1355473765870556e-05	3.2127856684383005e-05	3.550054316292517e-05	3.052600004593842e-05	5.9728161431849e-05	2.9048596843495034e-05	2.960233723570127e-05	2.898523052863311e-05	2.8897316951770335e-05	3.8607773603871465e-05	2.989119639096316e-05	2.963601946248673e-05	3.045521407329943e-05	3.22745690937154e-05
1956	0.00020481523824855685	0.00139801565092057	0.0008526624878868461	0.0006449228967539966	0.0004861507622990757	0.0004478259652387351	0.00036349325091578066	0.0002862511028070003	0.0003023496537934989	0.00022426732175517827	0.0003606943355407566	0.00018657361215446144	0.00022293471556622535	0.00016609704471193254	0.00017055428179446608	0.00020744357607327402	0.00016294103988911957	0.00014864881813991815	0.0001563897094456479	0.00014354783343151212	0.00022813474060967565	0.00012453150702640414	0.00012440496357157826	0.0001123548427131027	0.0001280005817534402	0.000159921488375403	0.00010506017133593559	0.00010207584273302928	0.00010756472329376265	9.461335866944864e-05	0.00017129210755228996	9.221499931300059e-05	7.40713148843497e-05	6.754583591828123e-05	6.19254496996291e-05	7.606801955262199e-05	6.522945477627218e-05	5.897633309359662e-05	5.7668486988404766e-05	5.397823770181276e-05	0.00010777875286294147	5.381922528613359e-05	5.7111676142085344e-05	5.350010542315431e-05	5.6129552831407636e-05	6.59227225696668e-05	4.686073589255102e-05	4.674904266721569e-05	5.3410421969601884e-05	4.44475190306548e-05	0.00012821846758015454	4.302852903492749e-05	4.447613173397258e-05	4.055369208799675e-05	4.083869862370193e-05	4.8528418119531125e-05	4.1480794607196e-05	3.895973713952117e-05	3.864171594614163e-05	3.6271965655032545e-05	8.678168524056673e-05	3.6489847843768075e-05	3.6492601793725044e-05	3.611735883168876e-05	3.793414725805633e-05	4.648109097615816e-05	3.636055043898523e-05	3.488764195935801e-05	3.5935237974626943e-05	3.24661705235485e-05	5.973727093078196e-05	3.270771412644535e-05	3.620979259721935e-05	3.3227111998712644e-05	3.20672697853297e-05	5.185333066037856e-05	3.222297891625203e-05	3.323976488900371e-05	3.3116517442977056e-05	3.021086558874231e-05	6.455709808506072e-05	3.318364542792551e-05	3.2165207812795416e-05	3.123590431641787e-05	3.221142469556071e-05	3.845629544230178e-05	3.2376487069996074e-05	3.233907409594394e-05	3.468571594567038e-05	2.9841676223441027e-05	5.902750126551837e-05	2.912035233748611e-05	3.041774471057579e-05	2.8901918994961306e-05	2.8992153602303006e-05	3.8724796468159184e-05	3.0284043532446958e-05	2.970687455672305e-05	3.141637353110127e-05	3.283206024207175e-05
1957	0.00021267987904138863	0.0014256095746532083	0.0008520142873749137	0.0006423132144846022	0.00048554391833022237	0.000454363995231688	0.0003702005196828395	0.00028821328305639327	0.0003014764515683055	0.00022661297407466918	0.000358128163497895	0.0001869776169769466	0.00022166591952554882	0.0001636067609069869	0.00017068444867618382	0.0002035197103396058	0.0001627437595743686	0.00014530331827700138	0.00015693216118961573	0.00014633432147093117	0.00022613869805354625	0.00012334503117017448	0.00012323081318754703	0.00011299252219032496	0.00012678938219323754	0.00015592727868352085	0.00010399163875263184	0.00010235371883027256	0.00010595632193144411	9.4130817160476e-05	0.00017070595640689135	9.142808994511142e-05	7.471033313777298e-05	6.834405212430283e-05	6.249813304748386e-05	7.613570051034912e-05	6.584772927453741e-05	6.182667857501656e-05	5.965302625554614e-05	5.547371256398037e-05	0.0001087174387066625	5.385013355407864e-05	5.9073248849017546e-05	5.55285150767304e-05	5.4617365094600245e-05	6.721522368025035e-05	4.821267066290602e-05	4.89563426526729e-05	5.510802293429151e-05	4.727642226498574e-05	0.00013109161227475852	4.523030293057673e-05	4.602262924890965e-05	4.26090118708089e-05	4.2953703086823225e-05	5.1103874284308404e-05	4.25746948167216e-05	4.2852803744608536e-05	4.0397972043138e-05	3.895928239217028e-05	8.961603452917188e-05	3.830677815130912e-05	3.822431972366758e-05	3.778999962378293e-05	3.929731610696763e-05	4.758782233693637e-05	3.7690639146603644e-05	3.632979860412888e-05	3.715285856742412e-05	3.3876502129714936e-05	6.080899402149953e-05	3.388162440387532e-05	3.78325094061438e-05	3.4296994272153825e-05	3.352464045747183e-05	5.247700391919352e-05	3.280965029262006e-05	3.480865416349843e-05	3.4362041333224624e-05	3.151846976834349e-05	6.571405538124964e-05	3.399071647436358e-05	3.3242435165448114e-05	3.233128518331796e-05	3.296176510048099e-05	3.879743962897919e-05	3.2838845072546974e-05	3.248647044529207e-05	3.57787030225154e-05	3.149439726257697e-05	5.899796087760478e-05	3.05545654555317e-05	3.0738945497432724e-05	3.098581146332435e-05	3.004444261023309e-05	3.890397056238726e-05	3.137557359877974e-05	3.0767627322347835e-05	3.200298306182958e-05	3.516358628985472e-05
1958	0.0002125860919477418	0.0014520572731271386	0.0008882999536581337	0.0006680128281004727	0.0005030640750192106	0.000466012250399217	0.00037586389225907624	0.0002926175366155803	0.0003075535350944847	0.00022633490152657032	0.0003647293196991086	0.00018853566143661737	0.00022281937708612531	0.00016578375652898103	0.00017421602387912571	0.00020717036386486143	0.00016481669445056468	0.00014580550487153232	0.00015783982235006988	0.00014468510926235467	0.0002266456140205264	0.0001262042496819049	0.00012512940156739205	0.0001156561920652166	0.0001287471386604011	0.00016125412366818637	0.00010431161354063079	0.00010439814650453627	0.00010778411524370313	9.604279330233112e-05	0.00017137406393885612	9.678668720880523e-05	7.655945228179917e-05	6.894090620335191e-05	6.45888940198347e-05	7.955525506986305e-05	6.685801054118201e-05	6.169986590975896e-05	6.100000246078707e-05	5.776382749900222e-05	0.00011030169844161719	5.41410299774725e-05	5.621683885692619e-05	5.398719440563582e-05	5.433332989923656e-05	6.783012941014022e-05	4.8704056098358706e-05	5.025762220611796e-05	5.6978442444233224e-05	4.831844853470102e-05	0.00013369324733503163	4.617533340933733e-05	4.7191479097818956e-05	4.3194715544814244e-05	4.4218450057087466e-05	5.268766108201817e-05	4.333185279392637e-05	4.3010008084820583e-05	4.3390555219957605e-05	3.977636151830666e-05	9.05577398953028e-05	3.969438330386765e-05	4.036742393509485e-05	3.9598737203050405e-05	4.068066846230067e-05	4.8862446419661865e-05	3.8301739550661296e-05	3.736707003554329e-05	3.808616384048946e-05	3.564144572010264e-05	6.273878534557298e-05	3.512477269396186e-05	3.762869528145529e-05	3.498763180687092e-05	3.3641546906437725e-05	5.366028563003056e-05	3.415518222027458e-05	3.529834430082701e-05	3.498712612781674e-05	3.19483078783378e-05	6.759987445548177e-05	3.493652184261009e-05	3.4281696571270004e-05	3.243613900849596e-05	3.352565909153782e-05	4.016855018562637e-05	3.3267577236983925e-05	3.337738962727599e-05	3.670566366054118e-05	3.218210258637555e-05	5.951373896095902e-05	3.066497447434813e-05	3.119430039077997e-05	3.168263356201351e-05	2.9994966098456644e-05	3.942061084671877e-05	3.174133598804474e-05	3.166188616887666e-05	3.295838178019039e-05	3.4490694815758616e-05
1959	0.0002600612642709166	0.0014963668072596192	0.0009259326034225523	0.0006908340728841722	0.0005160755245015025	0.0004816957516595721	0.00038750984822399914	0.00030308638815768063	0.0003122389316558838	0.00023597586550749838	0.00037645635893568397	0.00019249683828093112	0.0002280397602589801	0.00017022855172399431	0.00017584708984941244	0.00021189189283177257	0.00016701864660717547	0.00014888893929310143	0.0001609660394024104	0.00015161537157837301	0.0002323769440408796	0.00012605144002009183	0.0001266487524844706	0.00011600705329328775	0.00012845233140978962	0.00016289218910969794	0.00010648924944689497	0.00010505675891181454	0.00010919775377260521	9.770198084879667e-05	0.0001785381609806791	9.504966874374077e-05	7.675331289647147e-05	7.063773955451325e-05	6.453233072534204e-05	8.018170046852902e-05	6.72016030875966e-05	6.134228897280991e-05	6.096055221860297e-05	5.579738353844732e-05	0.00011203609028598294	5.485175643116236e-05	5.7163022574968636e-05	5.8006917242892087e-05	5.647463331115432e-05	6.94169502821751e-05	4.928989437757991e-05	5.046950536780059e-05	5.656861321767792e-05	4.725475810118951e-05	0.00013597714132629335	4.551513120532036e-05	4.7184999857563525e-05	4.2551324440864846e-05	4.337487189332023e-05	5.1482471462804824e-05	4.332497701398097e-05	4.284053648007102e-05	4.2402116378070787e-05	4.1376555600436404e-05	9.153166320174932e-05	3.94102098653093e-05	3.904300683643669e-05	3.8504309486597776e-05	4.003126377938315e-05	4.885583257419057e-05	3.795349766733125e-05	3.6508412449620664e-05	3.787986497627571e-05	3.498000296531245e-05	6.267741264309734e-05	3.466123962425627e-05	3.7915713619440794e-05	3.4381719160592183e-05	3.341768024256453e-05	5.309662810759619e-05	3.354993532411754e-05	3.487197318463586e-05	3.4723248973023146e-05	3.154774094582535e-05	6.83313119225204e-05	3.438123530941084e-05	3.297151124570519e-05	3.1730858609080315e-05	3.23020140058361e-05	3.913020555046387e-05	3.2329626264981925e-05	3.240568548790179e-05	3.5051700251642615e-05	3.14532735501416e-05	6.123958883108571e-05	3.0247501854319125e-05	3.0450482881860808e-05	2.9379383704508655e-05	2.8839716833317652e-05	3.810851922025904e-05	3.0805578717263415e-05	3.0279959901235998e-05	3.154967998852953e-05	3.3632288250373676e-05
1960	0.00023486051941290498	0.0014515157090499997	0.0008797021000646055	0.0006605820963159204	0.0004939044010825455	0.00046029483200982213	0.0003737971419468522	0.00028965729870833457	0.0003046232450287789	0.00023027595307212323	0.00036866345908492804	0.00019173721375409514	0.000227171738515608	0.00016870415129233152	0.00017381820362061262	0.00020862248493358493	0.00016458798199892044	0.0001467518013669178	0.00015753669140394777	0.00014842260861769319	0.00022972085571382195	0.0001274036621907726	0.00012756932119373232	0.0001143433473771438	0.00012935926497448236	0.00015889749920461327	0.00010757899144664407	0.00010397819278296083	0.00010822801414178684	9.581929043633863e-05	0.00017402101366315037	9.419373964192346e-05	7.57358648115769e-05	7.028492836980149e-05	6.472851964645088e-05	7.942633237689734e-05	6.72020687488839e-05	6.304148701019585e-05	6.094027776271105e-05	5.7082004786934704e-05	0.00011227458890061826	5.6062355724861845e-05	5.624596087727696e-05	5.305251033860259e-05	5.47459494555369e-05	6.771317566744983e-05	4.896024984191172e-05	4.9634039896773174e-05	5.6230590416816995e-05	4.649951370083727e-05	0.00013389388914220035	4.5383363612927496e-05	4.709900531452149e-05	4.303236346459016e-05	4.333851393312216e-05	5.233773117652163e-05	4.403877755976282e-05	4.2856871004914865e-05	4.389231980894692e-05	4.1885472455760464e-05	9.200457134284079e-05	3.9669826946919784e-05	3.9545571780763566e-05	3.9348306017927825e-05	4.0809034544508904e-05	4.859474938712083e-05	3.8602782296948135e-05	3.7251360481604934e-05	3.770311741391197e-05	3.55404190486297e-05	6.237623892957345e-05	3.515399293974042e-05	3.789697075262666e-05	3.537175871315412e-05	3.4316668461542577e-05	5.3662679420085624e-05	3.4142456570407376e-05	3.531539550749585e-05	3.560233017196879e-05	3.2303843909176067e-05	6.8148277932778e-05	3.460744846961461e-05	3.4041258913930506e-05	3.257327261962928e-05	3.3202653867192566e-05	3.976547304773703e-05	3.3225285733351484e-05	3.3263288059970364e-05	3.646399636636488e-05	3.2244490284938365e-05	6.07878428127151e-05	3.0761559173697606e-05	3.148786709061824e-05	3.051006206078455e-05	2.9883669412811287e-05	3.867793202516623e-05	3.2222713343799114e-05	3.151306009385735e-05	3.2675750844646245e-05	3.52052302332595e-05
1961	0.000258992105955258	0.0015149695100262761	0.0009047352359630167	0.0006815899978391826	0.0005090394406579435	0.0004742112651001662	0.00038031209260225296	0.00029830748098902404	0.00031275738729164004	0.00023501060786657035	0.0003792053903453052	0.00019556556071620435	0.0002333057636860758	0.0001705544418655336	0.00017861914238892496	0.00021887417824473232	0.00017083481361623853	0.00015229843847919255	0.00016471404524054378	0.00014858930080663413	0.00023769559629727155	0.00013161251263227314	0.0001308921055169776	0.00011863615509355441	0.00013282708823680878	0.00016646912263240665	0.00010842617484740913	0.00010717772238422185	0.0001117883512051776	9.8829907074105e-05	0.0001798679877538234	9.549537935527042e-05	7.670783088542521e-05	6.987209781073034e-05	6.47614651825279e-05	8.057429658947513e-05	6.896477134432644e-05	6.384401058312505e-05	6.141135963844135e-05	5.682876508217305e-05	0.00011325877130730078	5.5580698244739324e-05	5.5684282415313646e-05	5.2998122555436566e-05	5.4389100114349276e-05	6.812014180468395e-05	5.208456423133612e-05	4.949030335410498e-05	5.67282950214576e-05	4.81838287669234e-05	0.00013773562386631966	4.611177064361982e-05	4.7820507461437955e-05	4.3487914808792993e-05	4.455646194401197e-05	5.214686825638637e-05	4.368340159999207e-05	4.2761275835800916e-05	4.288238051231019e-05	4.1576684452593327e-05	9.418228000868112e-05	4.180760515737347e-05	4.047192487632856e-05	3.963975177612156e-05	4.132785034016706e-05	4.8340370994992554e-05	3.864597238134593e-05	3.695631676237099e-05	3.845633182208985e-05	3.5068838769802824e-05	6.288995064096525e-05	3.4930988476844504e-05	3.8497219065902755e-05	3.5286131605971605e-05	3.355286025907844e-05	5.407718344940804e-05	3.386166281416081e-05	3.547616506693885e-05	3.5960980312665924e-05	3.2078158255899325e-05	6.828564073657617e-05	3.46272463502828e-05	3.4047414374072105e-05	3.259023651480675e-05	3.35466320393607e-05	4.057394835399464e-05	3.323977580294013e-05	3.3782223908929154e-05	3.6288867704570293e-05	3.160774940624833e-05	6.183153163874522e-05	3.0728460842510685e-05	3.1615538318874314e-05	3.103219933109358e-05	3.0469889679807238e-05	3.924566772184335e-05	3.2308300433214754e-05	3.1128773116506636e-05	3.279857264715247e-05	3.442553133936599e-05
